"dbn","school","school_type","report_type","principal","superintendent","colocated","colocated_dbns","Universal Literacy","Algebra for All","AP for All","College Access for All (MS)","College Access for All (HS)","Computer Science for All","Single Shepherd","District Charter Partnership","MSQI","Learning Partners","Showcase","Community School","PROSE","Consortium School","Gifted and Talented","Dual Language or Transitional","New Arrivals","Mastery Collaborative","admission_method","Phase out","Renewal","Receivership","Rise","federal_accountability_status","district","bfsc"
02M126,P.S. 126 Jacob August Riis,K-8,EMS,Carlos Romero,Bonnie Laboy,0,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"K: Zoned School, MS: Screened",0,,,,Good Standing,02,MFSC
02M130,P.S. 130 Hernando De Soto,Elementary,EMS,Renny Fong,Bonnie Laboy,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M131,M.S. 131,Middle,EMS,Phyllis Tam,Bonnie Laboy,1,"02M298, 02M394",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MS: Screened, Screened: Language",0,,,,Good Standing,02,MFSC
02M135,The Urban Assembly School for Emergency Management,High School,HS,Rodolfo Elizondo,Fred Walsh,1,"02M280, 02M282, 02M520",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,AFSA
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,HS,Larry Gabbard,Fred Walsh,1,"02M393, 02M507, 84M170, 84M523",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,AFSA
02M150,P.S. 150,Elementary,EMS,Jennifer Bonnet,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Non-Zoned School,0,,,,Good Standing,02,MFSC
02M151,Yorkville Community School,Elementary,EMS,Samantha Kaplan,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M158,P.S. 158 Bayard Taylor,Elementary,EMS,Dina Ercolano,Bonnie Laboy,1,02M177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M167,J.H.S. 167 Robert F. Wagner,Middle,EMS,Jennifer Rehn,Bonnie Laboy,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS: Screened,0,,,,Good Standing,02,MFSC
02M177,Yorkville East Middle School,Middle,EMS,Christina Riggio,Bonnie Laboy,1,02M158,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"MS: Limited Unscreened, Screened",0,,,,Good Standing,02,MFSC
02M183,P.S. 183 Robert L. Stevenson,Elementary,EMS,Martin Woodard,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M198,P.S. 198 Isador E. Ida Straus,Elementary,EMS,Katharine Macmanus,Bonnie Laboy,1,02M077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
